schema_version;profil;datum;wochentag;mahlzeit;menueart;external_id;titel;beschreibung;beilagen;labels;allergene_enthaelt;allergene_spuren;herkunft;hinweis;zustand;zustand_text
2;patient;2026-08-31;Montag;LUNCH;MENU_1;PATIENT-2026-08-31-LUNCH-1;Pouletgeschnetzeltes Paprika;Reis · Zucchetti;Reis|Zucchetti;;;;Poulet=CH;;offen;
2;patient;2026-08-31;Montag;LUNCH;VEGGIE;PATIENT-2026-08-31-LUNCH-2;Gemüsegeschnetzeltes;Reis · Zucchetti;Reis|Zucchetti;VEGETARIAN;;;;;offen;
2;patient;2026-08-31;Montag;DINNER;MENU_1;PATIENT-2026-08-31-DINNER-1;Schinken-Käse-Toast;Tomatensalat;Tomatensalat;;MILK|GLUTEN;;Schwein=CH;;offen;
2;patient;2026-08-31;Montag;DINNER;VEGGIE;PATIENT-2026-08-31-DINNER-2;Gemüse-Toast;Tomatensalat;Tomatensalat;VEGETARIAN;GLUTEN;;;;offen;
2;patient;2026-09-01;Dienstag;LUNCH;MENU_1;PATIENT-2026-09-01-LUNCH-1;Hackbraten an Rosmarinjus;Kartoffelgratin · Broccoli;Kartoffelgratin|Broccoli;;;;Rind=CH;;offen;
2;patient;2026-09-01;Dienstag;LUNCH;VEGGIE;PATIENT-2026-09-01-LUNCH-2;Linsenbraten;Kartoffelgratin · Broccoli;Kartoffelgratin|Broccoli;VEGETARIAN;;;;;offen;
2;patient;2026-09-01;Dienstag;DINNER;MENU_1;PATIENT-2026-09-01-DINNER-1;Kartoffelsuppe mit Wienerli;Hausbrot;Hausbrot;;;;Schwein=CH;;offen;
2;patient;2026-09-01;Dienstag;DINNER;VEGGIE;PATIENT-2026-09-01-DINNER-2;Kartoffelsuppe mit Kräutern;Hausbrot;Hausbrot;VEGETARIAN;;;;;offen;
2;patient;2026-09-02;Mittwoch;LUNCH;MENU_1;PATIENT-2026-09-02-LUNCH-1;Kalbsbratwurst mit Zwiebelsauce;Rösti · Rüebli;Rösti|Rüebli;;;;Kalb=CH;;offen;
2;patient;2026-09-02;Mittwoch;LUNCH;VEGGIE;PATIENT-2026-09-02-LUNCH-2;Gemüse-Lasagne;Blattsalat;Blattsalat;VEGETARIAN;GLUTEN;;;;offen;
2;patient;2026-09-02;Mittwoch;DINNER;MENU_1;PATIENT-2026-09-02-DINNER-1;Älplermagronen mit Speck;Apfelmus;Apfelmus;;GLUTEN;;Schwein=CH;;offen;
2;patient;2026-09-02;Mittwoch;DINNER;VEGGIE;PATIENT-2026-09-02-DINNER-2;Älplermagronen vegetarisch;Apfelmus;Apfelmus;VEGETARIAN;GLUTEN;;;;offen;
2;patient;2026-09-03;Donnerstag;LUNCH;MENU_1;PATIENT-2026-09-03-LUNCH-1;Schweinsragout Tessiner Art;Polenta · Bohnen;Polenta|Bohnen;;;;Schwein=CH;;offen;
2;patient;2026-09-03;Donnerstag;LUNCH;VEGGIE;PATIENT-2026-09-03-LUNCH-2;Polenta mit Pilzragout;Bohnen;Bohnen;VEGETARIAN;;;;;offen;
2;patient;2026-09-03;Donnerstag;DINNER;MENU_1;PATIENT-2026-09-03-DINNER-1;Rührei mit Kräutern;Salzkartoffeln · Spinat;Salzkartoffeln|Spinat;VEGETARIAN;;;;;offen;
2;patient;2026-09-03;Donnerstag;DINNER;VEGGIE;PATIENT-2026-09-03-DINNER-2;Tofu-Rührei;Salzkartoffeln · Spinat;Salzkartoffeln|Spinat;VEGAN;;;;;offen;
2;patient;2026-09-04;Freitag;LUNCH;MENU_1;PATIENT-2026-09-04-LUNCH-1;Gebratenes Zanderfilet;Salzkartoffeln · Rahmspinat;Salzkartoffeln|Rahmspinat;;;;Zander=DE;;offen;
